Created as New Dataset,Sample 001 By IIST Date Wednesday, June 23 2021
cm-1,%T
3650.00,100.78
3649.00,100.72
3648.00,100.68
3647.00,100.66
3646.00,100.65
3645.00,100.64
3644.00,100.62
3643.00,100.60
3642.00,100.58
3641.00,100.55
3640.00,100.52
3639.00,100.49
3638.00,100.47
3637.00,100.44
3636.00,100.41
3635.00,100.37
3634.00,100.33
3633.00,100.28
3632.00,100.21
3631.00,100.15
3630.00,100.11
3629.00,100.07
3628.00,100.03
3627.00,100.00
3626.00,99.99
3625.00,99.98
3624.00,99.98
3623.00,99.95
3622.00,99.91
3621.00,99.85
3620.00,99.80
3619.00,99.74
3618.00,99.69
3617.00,99.64
3616.00,99.59
3615.00,99.56
3614.00,99.54
3613.00,99.52
3612.00,99.48
3611.00,99.44
3610.00,99.40
3609.00,99.37
3608.00,99.33
3607.00,99.30
3606.00,99.26
3605.00,99.24
3604.00,99.21
3603.00,99.18
3602.00,99.15
3601.00,99.10
3600.00,99.05
3599.00,99.00
3598.00,98.94
3597.00,98.89
3596.00,98.84
3595.00,98.81
3594.00,98.78
3593.00,98.76
3592.00,98.75
3591.00,98.73
3590.00,98.69
3589.00,98.64
3588.00,98.59
3587.00,98.54
3586.00,98.50
3585.00,98.47
3584.00,98.44
3583.00,98.41
3582.00,98.38
3581.00,98.35
3580.00,98.31
3579.00,98.27
3578.00,98.22
3577.00,98.17
3576.00,98.13
3575.00,98.09
3574.00,98.05
3573.00,98.01
3572.00,97.97
3571.00,97.93
3570.00,97.88
3569.00,97.83
3568.00,97.77
3567.00,97.72
3566.00,97.70
3565.00,97.68
3564.00,97.66
3563.00,97.63
3562.00,97.60
3561.00,97.56
3560.00,97.53
3559.00,97.50
3558.00,97.48
3557.00,97.45
3556.00,97.43
3555.00,97.40
3554.00,97.36
3553.00,97.32
3552.00,97.27
3551.00,97.22
3550.00,97.17
3549.00,97.12
3548.00,97.06
3547.00,97.00
3546.00,96.94
3545.00,96.89
3544.00,96.86
3543.00,96.84
3542.00,96.82
3541.00,96.78
3540.00,96.74
3539.00,96.69
3538.00,96.64
3537.00,96.60
3536.00,96.57
3535.00,96.54
3534.00,96.51
3533.00,96.48
3532.00,96.44
3531.00,96.39
3530.00,96.35
3529.00,96.31
3528.00,96.28
3527.00,96.25
3526.00,96.20
3525.00,96.15
3524.00,96.11
3523.00,96.07
3522.00,96.05
3521.00,96.02
3520.00,95.98
3519.00,95.93
3518.00,95.86
3517.00,95.80
3516.00,95.75
3515.00,95.71
3514.00,95.67
3513.00,95.63
3512.00,95.60
3511.00,95.58
3510.00,95.56
3509.00,95.52
3508.00,95.46
3507.00,95.39
3506.00,95.32
3505.00,95.28
3504.00,95.26
3503.00,95.25
3502.00,95.24
3501.00,95.22
3500.00,95.19
3499.00,95.14
3498.00,95.09
3497.00,95.04
3496.00,94.99
3495.00,94.95
3494.00,94.91
3493.00,94.88
3492.00,94.86
3491.00,94.82
3490.00,94.78
3489.00,94.74
3488.00,94.70
3487.00,94.67
3486.00,94.64
3485.00,94.62
3484.00,94.59
3483.00,94.54
3482.00,94.48
3481.00,94.41
3480.00,94.36
3479.00,94.32
3478.00,94.30
3477.00,94.28
3476.00,94.27
3475.00,94.25
3474.00,94.23
3473.00,94.20
3472.00,94.16
3471.00,94.11
3470.00,94.07
3469.00,94.02
3468.00,93.98
3467.00,93.94
3466.00,93.90
3465.00,93.86
3464.00,93.82
3463.00,93.78
3462.00,93.75
3461.00,93.72
3460.00,93.69
3459.00,93.66
3458.00,93.63
3457.00,93.59
3456.00,93.55
3455.00,93.51
3454.00,93.48
3453.00,93.45
3452.00,93.43
3451.00,93.41
3450.00,93.39
3449.00,93.36
3448.00,93.32
3447.00,93.29
3446.00,93.25
3445.00,93.22
3444.00,93.20
3443.00,93.17
3442.00,93.15
3441.00,93.12
3440.00,93.09
3439.00,93.07
3438.00,93.05
3437.00,93.02
3436.00,92.99
3435.00,92.96
3434.00,92.94
3433.00,92.91
3432.00,92.88
3431.00,92.86
3430.00,92.83
3429.00,92.80
3428.00,92.77
3427.00,92.75
3426.00,92.73
3425.00,92.71
3424.00,92.70
3423.00,92.69
3422.00,92.68
3421.00,92.66
3420.00,92.63
3419.00,92.61
3418.00,92.58
3417.00,92.55
3416.00,92.54
3415.00,92.53
3414.00,92.51
3413.00,92.50
3412.00,92.48
3411.00,92.45
3410.00,92.42
3409.00,92.39
3408.00,92.36
3407.00,92.34
3406.00,92.33
3405.00,92.32
3404.00,92.31
3403.00,92.30
3402.00,92.29
3401.00,92.27
3400.00,92.25
3399.00,92.23
3398.00,92.21
3397.00,92.18
3396.00,92.17
3395.00,92.15
3394.00,92.14
3393.00,92.13
3392.00,92.12
3391.00,92.11
3390.00,92.10
3389.00,92.08
3388.00,92.07
3387.00,92.07
3386.00,92.05
3385.00,92.04
3384.00,92.02
3383.00,92.00
3382.00,91.97
3381.00,91.96
3380.00,91.95
3379.00,91.94
3378.00,91.94
3377.00,91.94
3376.00,91.93
3375.00,91.93
3374.00,91.93
3373.00,91.92
3372.00,91.91
3371.00,91.90
3370.00,91.90
3369.00,91.89
3368.00,91.89
3367.00,91.89
3366.00,91.89
3365.00,91.89
3364.00,91.88
3363.00,91.88
3362.00,91.87
3361.00,91.87
3360.00,91.87
3359.00,91.86
3358.00,91.85
3357.00,91.83
3356.00,91.82
3355.00,91.82
3354.00,91.82
3353.00,91.82
3352.00,91.81
3351.00,91.81
3350.00,91.81
3349.00,91.80
3348.00,91.79
3347.00,91.79
3346.00,91.79
3345.00,91.80
3344.00,91.81
3343.00,91.81
3342.00,91.82
3341.00,91.81
3340.00,91.80
3339.00,91.79
3338.00,91.79
3337.00,91.80
3336.00,91.82
3335.00,91.83
3334.00,91.83
3333.00,91.82
3332.00,91.81
3331.00,91.80
3330.00,91.80
3329.00,91.81
3328.00,91.83
3327.00,91.85
3326.00,91.87
3325.00,91.88
3324.00,91.87
3323.00,91.87
3322.00,91.87
3321.00,91.87
3320.00,91.87
3319.00,91.87
3318.00,91.86
3317.00,91.86
3316.00,91.86
3315.00,91.86
3314.00,91.87
3313.00,91.87
3312.00,91.88
3311.00,91.90
3310.00,91.92
3309.00,91.94
3308.00,91.95
3307.00,91.95
3306.00,91.95
3305.00,91.95
3304.00,91.96
3303.00,91.97
3302.00,91.98
3301.00,92.00
3300.00,92.02
3299.00,92.03
3298.00,92.03
3297.00,92.03
3296.00,92.03
3295.00,92.04
3294.00,92.06
3293.00,92.08
3292.00,92.09
3291.00,92.10
3290.00,92.11
3289.00,92.12
3288.00,92.12
3287.00,92.13
3286.00,92.13
3285.00,92.14
3284.00,92.14
3283.00,92.15
3282.00,92.17
3281.00,92.19
3280.00,92.20
3279.00,92.22
3278.00,92.22
3277.00,92.23
3276.00,92.23
3275.00,92.24
3274.00,92.25
3273.00,92.26
3272.00,92.28
3271.00,92.30
3270.00,92.32
3269.00,92.35
3268.00,92.38
3267.00,92.40
3266.00,92.41
3265.00,92.40
3264.00,92.40
3263.00,92.40
3262.00,92.41
3261.00,92.43
3260.00,92.45
3259.00,92.47
3258.00,92.49
3257.00,92.50
3256.00,92.51
3255.00,92.52
3254.00,92.54
3253.00,92.55
3252.00,92.56
3251.00,92.57
3250.00,92.58
3249.00,92.60
3248.00,92.63
3247.00,92.67
3246.00,92.70
3245.00,92.72
3244.00,92.74
3243.00,92.76
3242.00,92.77
3241.00,92.79
3240.00,92.80
3239.00,92.81
3238.00,92.82
3237.00,92.84
3236.00,92.86
3235.00,92.88
3234.00,92.90
3233.00,92.93
3232.00,92.95
3231.00,92.98
3230.00,93.01
3229.00,93.02
3228.00,93.04
3227.00,93.05
3226.00,93.07
3225.00,93.09
3224.00,93.10
3223.00,93.11
3222.00,93.13
3221.00,93.15
3220.00,93.17
3219.00,93.20
3218.00,93.23
3217.00,93.25
3216.00,93.28
3215.00,93.31
3214.00,93.34
3213.00,93.37
3212.00,93.39
3211.00,93.41
3210.00,93.42
3209.00,93.44
3208.00,93.46
3207.00,93.49
